"column3","column4","column5"
"state","race","0"
"AK","Unknown","4"
"AK","A","1"
"AK","B","3"
"AK","N","9"
"AK","W","15"
"AL","Unknown","9"
"AL","B","26"
"AL","H","1"
"AL","W","52"
"AR","Unknown","14"
"AR","A","1"
"AR","B","19"
"AR","W","36"
"AZ","Unknown","29"
"AZ","B","14"
"AZ","H","75"
"AZ","N","11"
"AZ","W","96"
"CA","Unknown","85"
"CA","A","24"
"CA","B","110"
"CA","H","283"
"CA","N","4"
"CA","O","9"
"CA","W","191"
"CO","Unknown","24"
"CO","A","5"
"CO","B","14"
"CO","H","42"
"CO","N","4"
"CO","O","1"
"CO","W","69"
"CT","Unknown","3"
"CT","B","2"
"CT","H","4"
"CT","W","9"
"DC","B","12"
"DC","W","1"
"DE","Unknown","2"
"DE","B","4"
"DE","W","5"
"FL","Unknown","17"
"FL","A","1"
"FL","B","89"
"FL","H","43"
"FL","O","3"
"FL","W","130"
"GA","Unknown","23"
"GA","A","3"
"GA","B","57"
"GA","H","8"
"GA","W","63"
"HI","Unknown","1"
"HI","A","8"
"HI","B","1"
"HI","H","1"
"HI","O","12"
"HI","W","3"
"IA","Unknown","1"
"IA","B","6"
"IA","W","22"
"ID","Unknown","6"
"ID","B","1"
"ID","H","4"
"ID","N","1"
"ID","W","26"
"IL","Unknown","3"
"IL","B","53"
"IL","H","12"
"IL","W","28"
"IN","Unknown","6"
"IN","B","24"
"IN","H","4"
"IN","W","48"
"KS","Unknown","3"
"KS","B","6"
"KS","H","7"
"KS","N","1"
"KS","W","28"
"KY","Unknown","6"
"KY","A","1"
"KY","B","11"
"KY","H","3"
"KY","N","1"
"KY","W","59"
"LA","Unknown","7"
"LA","A","2"
"LA","B","54"
"LA","H","1"
"LA","W","34"
"MA","Unknown","1"
"MA","B","8"
"MA","H","7"
"MA","O","1"
"MA","W","14"
"MD","Unknown","3"
"MD","B","41"
"MD","H","3"
"MD","W","20"
"ME","Unknown","1"
"ME","B","1"
"ME","O","1"
"ME","W","14"
"MI","Unknown","10"
"MI","A","1"
"MI","B","23"
"MI","H","2"
"MI","O","1"
"MI","W","36"
"MN","Unknown","2"
"MN","A","2"
"MN","B","9"
"MN","H","3"
"MN","N","4"
"MN","O","3"
"MN","W","34"
"MO","Unknown","13"
"MO","A","1"
"MO","B","43"
"MO","H","3"
"MO","W","57"
"MS","Unknown","4"
"MS","A","1"
"MS","B","20"
"MS","H","1"
"MS","W","31"
"MT","Unknown","2"
"MT","N","4"
"MT","W","18"
"NC","Unknown","10"
"NC","A","1"
"NC","B","40"
"NC","H","8"
"NC","W","71"
"ND","N","4"
"ND","W","5"
"NE","Unknown","1"
"NE","B","4"
"NE","H","2"
"NE","N","1"
"NE","W","13"
"NH","Unknown","1"
"NH","W","11"
"NJ","Unknown","7"
"NJ","A","1"
"NJ","B","25"
"NJ","H","9"
"NJ","W","18"
"NM","Unknown","9"
"NM","B","1"
"NM","H","56"
"NM","N","2"
"NM","W","25"
"NV","Unknown","9"
"NV","A","2"
"NV","B","11"
"NV","H","24"
"NV","N","1"
"NV","W","32"
"NY","Unknown","11"
"NY","A","1"
"NY","B","34"
"NY","H","8"
"NY","W","28"
"OH","Unknown","6"
"OH","A","2"
"OH","B","48"
"OH","H","1"
"OH","O","2"
"OH","W","76"
"OK","Unknown","16"
"OK","A","3"
"OK","B","27"
"OK","H","7"
"OK","N","6"
"OK","W","82"
"OR","Unknown","9"
"OR","B","7"
"OR","H","4"
"OR","W","54"
"PA","Unknown","11"
"PA","B","37"
"PA","H","6"
"PA","W","41"
"RI","B","2"
"RI","H","1"
"RI","W","1"
"SC","Unknown","5"
"SC","A","1"
"SC","B","21"
"SC","H","2"
"SC","W","44"
"SD","Unknown","2"
"SD","A","1"
"SD","N","3"
"SD","W","9"
"TN","Unknown","15"
"TN","A","1"
"TN","B","26"
"TN","H","3"
"TN","O","1"
"TN","W","75"
"TX","Unknown","62"
"TX","A","3"
"TX","B","78"
"TX","H","121"
"TX","N","1"
"TX","O","3"
"TX","W","149"
"UT","Unknown","4"
"UT","B","5"
"UT","H","10"
"UT","N","2"
"UT","O","1"
"UT","W","29"
"VA","Unknown","4"
"VA","A","1"
"VA","B","36"
"VA","H","4"
"VA","W","40"
"VT","Unknown","2"
"VT","N","1"
"VT","W","6"
"WA","Unknown","22"
"WA","A","7"
"WA","B","16"
"WA","H","18"
"WA","N","7"
"WA","O","2"
"WA","W","55"
"WI","Unknown","4"
"WI","A","1"
"WI","B","16"
"WI","H","3"
"WI","N","4"
"WI","W","46"
"WV","Unknown","11"
"WV","A","1"
"WV","B","7"
"WV","W","32"
"WY","Unknown","1"
"WY","H","2"
"WY","N","1"
"WY","W","9"
